Year,Locationabbr,Locationdesc,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,GeoLocation
2019,DE,Delaware,Obese (BMI 30.0 - 99.8),55-64,Age Group,299,40.1,"(39.008830667000495, -75.57774116799965)"
2019,KS,Kansas,Obese (BMI 30.0 - 99.8),25-34,Age Group,386,34.3,"(38.34774030000045, -98.20078122699965)"
2019,LA,Louisiana,Obese (BMI 30.0 - 99.8),55-64,Age Group,395,41.9,"(31.31266064400046, -92.44568007099969)"
2019,KY,Kentucky,Overweight (BMI 25.0-29.9),35-44,Age Group,294,35.6,"(37.645970271000465, -84.77497104799966)"
2019,NY,New York,Overweight (BMI 25.0-29.9),45-54,Age Group,713,37.2,"(42.82700103200045, -75.54397042699964)"
2019,PA,Pennsylvania,Obese (BMI 30.0 - 99.8),18-24,Age Group,94,23.3,"(40.79373015200048, -77.86070029399963)"
2019,GU,Guam,Obese (BMI 30.0 - 99.8),18-24,Age Group,39,22.2,"(13.444304, 144.793731)"
2014,GU,Guam,Obese (BMI 30.0 - 99.8),25-34,Age Group,148,34.6,"(13.444304, 144.793731)"
2014,IN,Indiana,Overweight (BMI 25.0-29.9),25-34,Age Group,249,32.8,"(39.766910452, -86.149960194)"
2014,PR,Puerto Rico,Overweight (BMI 25.0-29.9),45-54,Age Group,401,42.7,"(18.220833, -66.590149)"
2014,PR,Puerto Rico,Overweight (BMI 25.0-29.9),25-34,Age Group,202,33.4,"(18.220833, -66.590149)"
2014,ID,Idaho,Overweight (BMI 25.0-29.9),25-34,Age Group,162,34.2,"(43.682630005, -114.363730042)"
2014,FL,Florida,Obese (BMI 30.0 - 99.8),35-44,Age Group,243,31.2,"(28.932040377, -81.928960539)"
2014,GU,Guam,Overweight (BMI 25.0-29.9),45-54,Age Group,192,39.8,"(13.444304, 144.793731)"
2014,PR,Puerto Rico,Obese (BMI 30.0 - 99.8),65+,Age Group,460,23.2,"(18.220833, -66.590149)"
2014,PR,Puerto Rico,Overweight (BMI 25.0-29.9),55-64,Age Group,449,42.0,"(18.220833, -66.590149)"
2014,UT,Utah,Overweight (BMI 25.0-29.9),65+,Age Group,1323,39.2,"(39.360700171, -111.587130635)"
2014,GU,Guam,Obese (BMI 30.0 - 99.8),65+,Age Group,69,24.9,"(13.444304, 144.793731)"
2014,GU,Guam,Overweight (BMI 25.0-29.9),35-44,Age Group,156,36.6,"(13.444304, 144.793731)"
2014,PR,Puerto Rico,Obese (BMI 30.0 - 99.8),18-24,Age Group,71,17.1,"(18.220833, -66.590149)"
